trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2015-12-15,500,37,1.0,1.0,0.988,1.0,0.988,True,
2015-12-16,500,37,1.0,1.0,0.988,1.0,0.988,True,
2015-12-17,500,37,1.0,1.0,0.988,1.0,0.988,True,
2015-12-18,500,38,1.0,1.0,0.988,1.0,0.988,True,
2015-12-21,500,42,1.0,1.0,0.988,1.0,0.988,True,
2015-12-22,500,43,1.0,1.0,0.988,1.0,0.988,True,
2015-12-23,500,45,1.0,1.0,0.988,1.0,0.988,True,
2015-12-24,500,46,1.0,1.0,0.988,1.0,0.988,True,
2015-12-25,500,44,1.0,1.0,0.988,1.0,0.988,True,
2015-12-28,500,42,1.0,1.0,0.988,1.0,0.988,True,
2015-12-29,500,43,1.0,1.0,0.988,1.0,0.988,True,
2015-12-30,500,42,1.0,1.0,0.988,1.0,0.988,True,
2015-12-31,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-01-04,500,39,1.0,1.0,0.988,1.0,0.988,True,
2016-01-05,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-01-06,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-01-07,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-01-08,500,40,1.0,1.0,0.988,1.0,0.988,True,
2016-01-11,500,39,1.0,1.0,0.988,1.0,0.988,True,
2016-01-12,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-01-13,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-01-14,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-01-15,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-01-18,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-01-19,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-01-20,500,31,1.0,1.0,0.988,1.0,0.988,True,
2016-01-21,500,30,1.0,1.0,0.988,1.0,0.988,True,
2016-01-22,500,30,1.0,1.0,0.988,1.0,0.988,True,
