trade_date,size_bucket,factor,total,non_missing,coverage
2022-08-02,2,asset_turnover,12,12,1.0
2022-08-02,3,asset_turnover,12,12,1.0
2022-08-02,4,asset_turnover,12,12,1.0
2022-08-03,0,asset_turnover,12,12,1.0
2022-08-03,1,asset_turnover,12,12,1.0
2022-08-03,2,asset_turnover,12,12,1.0
2022-08-03,3,asset_turnover,12,12,1.0
2022-08-03,4,asset_turnover,12,12,1.0
2022-08-04,0,asset_turnover,12,12,1.0
2022-08-04,1,asset_turnover,12,12,1.0
2022-08-04,2,asset_turnover,12,12,1.0
2022-08-04,3,asset_turnover,12,12,1.0
2022-08-04,4,asset_turnover,12,12,1.0
2022-08-05,0,asset_turnover,12,12,1.0
2022-08-05,1,asset_turnover,12,12,1.0
2022-08-05,2,asset_turnover,12,12,1.0
2022-08-05,3,asset_turnover,12,12,1.0
2022-08-05,4,asset_turnover,12,12,1.0
2022-08-08,0,asset_turnover,12,12,1.0
2022-08-08,1,asset_turnover,12,12,1.0
2022-08-08,2,asset_turnover,12,12,1.0
2022-08-08,3,asset_turnover,12,12,1.0
2022-08-08,4,asset_turnover,12,12,1.0
2022-08-09,0,asset_turnover,12,12,1.0
2022-08-09,1,asset_turnover,12,12,1.0
2022-08-09,2,asset_turnover,12,12,1.0
2022-08-09,3,asset_turnover,12,12,1.0
2022-08-09,4,asset_turnover,12,12,1.0
2022-08-10,0,asset_turnover,12,12,1.0
2022-08-10,1,asset_turnover,12,12,1.0
2022-08-10,2,asset_turnover,12,12,1.0
2022-08-10,3,asset_turnover,12,12,1.0
2022-08-10,4,asset_turnover,12,12,1.0
2022-08-11,0,asset_turnover,12,12,1.0
2022-08-11,1,asset_turnover,12,12,1.0
2022-08-11,2,asset_turnover,12,12,1.0
2022-08-11,3,asset_turnover,12,12,1.0
2022-08-11,4,asset_turnover,12,12,1.0
2022-08-12,0,asset_turnover,12,12,1.0
2022-08-12,1,asset_turnover,12,12,1.0
2022-08-12,2,asset_turnover,12,12,1.0
2022-08-12,3,asset_turnover,12,12,1.0
2022-08-12,4,asset_turnover,12,12,1.0
2022-08-15,0,asset_turnover,12,12,1.0
2022-08-15,1,asset_turnover,12,12,1.0
2022-08-15,2,asset_turnover,12,12,1.0
2022-08-15,3,asset_turnover,12,12,1.0
2022-08-15,4,asset_turnover,12,12,1.0
2022-08-16,0,asset_turnover,12,12,1.0
2022-08-16,1,asset_turnover,12,12,1.0
2022-08-16,2,asset_turnover,12,12,1.0
2022-08-16,3,asset_turnover,12,12,1.0
2022-08-16,4,asset_turnover,12,12,1.0
2022-08-17,0,asset_turnover,12,12,1.0
2022-08-17,1,asset_turnover,12,12,1.0
2022-08-17,2,asset_turnover,12,12,1.0
